stage,stage_order,x,mean_persist_pipe,mean_persist_rank,median_persist_pipe,median_persist_rank,frac_gt_05_pipe,frac_gt_05_rank,total_pu_area_km2_pipe,total_pu_area_km2_rank,mean_persist_diff_pipe_minus_rank,median_persist_diff_pipe_minus_rank,total_pu_area_diff_pipe_minus_rank
0,0,0,0.891744783911603,0.891744783911603,0.999999918919508,0.999999918919508,0.895604395604396,0.895604395604396,8178380.72624704,8178380.72624704,0,0,0
1,1,4.74865574883676,0.891745083807815,0.891728644264109,0.99999994883828,0.999999961743572,0.895604395604396,0.895604395604396,8111340.733195,8108227.441237,1.64395437053377e-05,-1.29052928343754e-08,3113.29195799585
2,2,9.45013491751602,0.891754990654752,0.891622910101315,0.999999970809059,0.999999972257847,0.895604395604396,0.895604395604396,7920116.84684299,7906205.03789899,0.000132080553437053,-1.44878797847525e-09,13911.8089439953
3,3,14.1409219785651,0.891764998338437,0.89138939518095,0.99999997574349,0.999999948177808,0.895604395604396,0.895604395604396,7874094.88898013,7590003.13091667,0.000375603157487636,2.75656812931402e-08,284091.758063453
4,4,18.8353199706999,0.891766455014895,0.891016628930688,0.99999996958235,0.999999957439046,0.895604395604396,0.895604395604396,7664104.09004522,7183706.11436991,0.000749826084207261,1.21433039179664e-08,480397.97567531
5,5,23.5299055436702,0.891745383329106,0.890600053468342,0.999999986165966,0.999999942490881,0.895604395604396,0.895604395604396,7391200.34464637,6815216.12186604,0.00114532986076366,4.36750849930334e-08,575984.222780337
6,6,28.2220994609865,0.891691265679819,0.890312805316727,0.999999985420542,0.999999961050164,0.895604395604396,0.895604395604396,7202663.13289054,6533691.82813544,0.00137846036309242,2.43703774938098e-08,668971.304755098
7,7,32.9130272076623,0.891639377699373,0.889763678438594,0.999999985171674,0.999999952325037,0.895604395604396,0.895604395604396,6946617.80703805,6168916.21444619,0.00187569926077968,3.28466374099889e-08,777701.592591858
8,8,37.603063945369,0.891510670964692,0.887458829321553,0.999999999081556,0.999999972247363,0.895604395604396,0.895604395604396,6713793.14853627,5835297.30004121,0.00405184164313888,2.68341928677529e-08,878495.848495065
9,9,42.294366853716,0.891452394433399,0.886843674573763,0.999999998929798,0.999999991220313,0.895604395604396,0.895604395604396,6479276.99485425,5482772.76293326,0.0046087198596364,7.70948549444483e-09,996504.23192099
10,10,46.984731857885,0.891215752873117,0.88259330730646,0.999999999551106,0.999999996696145,0.895604395604396,0.884615384615385,6177071.60083448,5016496.51461799,0.00862244556665759,2.85496115637329e-09,1160575.08621649
11,11,51.6772071464547,0.891104825195962,0.881522918815262,0.99999999986082,0.99999999706804,0.895604395604396,0.884615384615385,5876436.5187112,4679628.44087647,0.00958190638070033,2.79277945214318e-09,1196808.07783473
12,12,56.3696355398155,0.891031053720832,0.88044261101479,0.999999999702269,0.999999996493508,0.895604395604396,0.884615384615385,5464755.21584842,4286408.84545579,0.0105884427060423,3.2087608126119e-09,1178346.37039262
13,13,61.0801185886043,0.890515122599439,0.879198670552653,0.99999999876475,0.999999994173336,0.895604395604396,0.884615384615385,5082045.39425416,3878303.83994582,0.011316452046786,4.59141358266635e-09,1203741.55430833
14,14,65.7855369548315,0.889629339912874,0.878066460402643,0.999999999290954,0.99999999961301,0.895604395604396,0.884615384615385,4598954.87389729,3509789.37378909,0.0115628795102309,-3.2205549338471e-10,1089165.5001082
15,15,70.4793253092505,0.888356613055026,0.875066479788901,0.999999996082283,0.999999999890243,0.895604395604396,0.884615384615385,4038884.68503816,3088645.50960348,0.0132901332661244,-3.80796016941076e-09,950239.175434683
16,16,75.1702061607174,0.885591255457694,0.874034262011405,0.999999954898405,0.999999999950416,0.895604395604396,0.879120879120879,3435338.56348606,2618864.35752717,0.0115569934462889,-4.50520112327268e-08,816474.205958895
17,17,79.8661985899549,0.883318469950693,0.871048536216274,0.99999980182294,0.999999999747165,0.895604395604396,0.879120879120879,2824902.34479506,2100655.85168241,0.0122699337344192,-1.97924224787371e-07,724246.493112649
18,18,84.5572201270485,0.877436527032663,0.865172337542579,0.999998894513594,0.999999979675024,0.89010989010989,0.873626373626374,2093963.67533964,1607665.32263653,0.0122641894900831,-1.08516142938164e-06,486298.352703105
19,19,89.261981960351,0.867916128292177,0.855048429657903,0.999894948653236,0.999993318372719,0.879120879120879,0.846153846153846,1432917.81677328,1136828.44849264,0.012867698634274,-9.83697194826272e-05,296089.368280637
20,20,93.953331763907,0.846289561916036,0.822194079537867,0.999260356975635,0.998551779315855,0.840659340659341,0.82967032967033,783351.652245489,651703.325576673,0.0240954823781694,0.000708577659780385,131648.326668816
21,21,98.6595004534767,0.67535054246481,0.446273376543438,0.866600550236337,0.387972749981383,0.686813186813187,0.428571428571429,170417.790651573,129728.66784744,0.229077165921371,0.478627800254954,40689.122804133
22,22,99.7962403173118,0.34921654331653,0.0203102031334445,0.126846339408312,8.88178419700125e-16,0.362637362637363,0.0054945054945055,33811.4477885458,14903.4130593738,0.328906340183086,0.126846339408311,18908.034729172
