method,stage,stage_order,x,n_species,n_species_with_pu,mean_persist,median_persist,q10_persist,q90_persist,min_persist,max_persist,frac_gt_05,total_pu_area_km2
rank,6,6,28.2220994609865,182,182,0.890312805316727,0.999999961050164,0.458022906591328,1,0,1,0.895604395604396,6533691.82813544
rank,7,7,32.9130272076623,182,182,0.889763678438594,0.999999952325037,0.458022906591328,1,0,1,0.895604395604396,6168916.21444619
rank,8,8,37.603063945369,182,182,0.887458829321553,0.999999972247363,0.458022906591328,1,0,1,0.895604395604396,5835297.30004121
rank,9,9,42.294366853716,182,182,0.886843674573763,0.999999991220313,0.458022906591328,1,0,1,0.895604395604396,5482772.76293326
rank,10,10,46.984731857885,182,182,0.88259330730646,0.999999996696145,0.399773251436254,1,0,1,0.884615384615385,5016496.51461799
rank,11,11,51.6772071464547,182,182,0.881522918815262,0.99999999706804,0.361880876116017,1,0,1,0.884615384615385,4679628.44087647
rank,12,12,56.3696355398155,182,182,0.88044261101479,0.999999996493508,0.361880876116017,1,0,1,0.884615384615385,4286408.84545579
rank,13,13,61.0801185886043,182,182,0.879198670552653,0.999999994173336,0.361880876116017,1,0,1,0.884615384615385,3878303.83994582
rank,14,14,65.7855369548315,182,182,0.878066460402643,0.99999999961301,0.361880876116017,1,0,1,0.884615384615385,3509789.37378909
rank,15,15,70.4793253092505,182,182,0.875066479788901,0.999999999890243,0.361880876116017,1,0,1,0.884615384615385,3088645.50960348
rank,16,16,75.1702061607174,182,181,0.874034262011405,0.999999999950416,0.361880876116017,1,0,1,0.879120879120879,2618864.35752717
rank,17,17,79.8661985899549,182,180,0.871048536216274,0.999999999747165,0.356895116201909,1,0,1,0.879120879120879,2100655.85168241
rank,18,18,84.5572201270485,182,180,0.865172337542579,0.999999979675024,0.27828494912433,1,0,1,0.873626373626374,1607665.32263653
rank,19,19,89.261981960351,182,178,0.855048429657903,0.999993318372719,0.140338491236843,1,0,1,0.846153846153846,1136828.44849264
rank,20,20,93.953331763907,182,177,0.822194079537867,0.998551779315855,0.0702797165909455,1,0,1,0.82967032967033,651703.325576673
rank,21,21,98.6595004534767,182,171,0.446273376543438,0.387972749981383,2.03170813506406e-15,0.999519849929693,0,1,0.428571428571429,129728.66784744
rank,22,22,99.7962403173118,182,137,0.0203102031334445,8.88178419700125e-16,0,0.0151311562884854,0,0.92677804498345,0.0054945054945055,14903.4130593738
