"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02108 0.0316 0.0316
0.02118 0.0322 0.0322
0.02128 0.0316 0.0316
0.02138 0.0328 0.0328
0.02148 0.0328 0.0328
0.02158 0.0334 0.0334
0.02168 0.0322 0.0322
0.02178 0.0334 0.0334
0.02188 0.0328 0.0328
0.02198 0.0328 0.0328
0.02207 0.0334 0.0334
0.02217 0.0328 0.0328
0.02227 0.0328 0.0328
0.02237 0.0352 0.0352
0.02247 0.0334 0.0334
0.02257 0.0352 0.0352
0.02267 0.0346 0.0346
0.02277 0.0352 0.0352
0.02287 0.0352 0.0352
0.02297 0.0358 0.0358
0.02307 0.0364 0.0364
0.02317 0.0358 0.0358
0.02327 0.0364 0.0364
0.02337 0.0358 0.0358
0.02347 0.0364 0.0364
0.02357 0.0358 0.0358
0.02367 0.0370 0.0370
0.02377 0.0388 0.0388
0.02387 0.0370 0.0370
0.02397 0.0394 0.0394
0.02407 0.0394 0.0394
0.02417 0.0388 0.0388
0.02427 0.0400 0.0400
0.02437 0.0394 0.0394
0.02447 0.0394 0.0394
0.02457 0.0406 0.0406
0.02467 0.0388 0.0388
0.02477 0.0400 0.0400
0.02487 0.0394 0.0394
0.02497 0.0394 0.0394
0.02507 0.0406 0.0406
0.02517 0.0412 0.0412
0.02527 0.0412 0.0412
0.02537 0.0400 0.0400
0.02547 0.0418 0.0418
0.02557 0.0412 0.0412
0.02567 0.0412 0.0412
0.02577 0.0412 0.0412
0.02587 0.0412 0.0412
0.02597 0.0412 0.0412
0.02607 0.0418 0.0418
0.02617 0.0424 0.0424
0.02627 0.0424 0.0424
0.02637 0.0424 0.0424
0.02647 0.0430 0.0430
0.02657 0.0436 0.0436
0.02667 0.0424 0.0424
0.02677 0.0442 0.0442
0.02687 0.0454 0.0454
0.02697 0.0442 0.0442
0.02707 0.0454 0.0454
0.02717 0.0454 0.0454
0.02727 0.0454 0.0454
0.02737 0.0448 0.0448
0.02747 0.0459 0.0459
0.02757 0.0471 0.0471
0.02767 0.0465 0.0465
0.02777 0.0471 0.0471
0.02787 0.0465 0.0465
0.02797 0.0465 0.0465
0.02807 0.0489 0.0489
0.02817 0.0477 0.0477
0.02827 0.0489 0.0489
0.02837 0.0483 0.0483
0.02847 0.0489 0.0489
0.02857 0.0495 0.0495
0.02867 0.0495 0.0495
0.02877 0.0483 0.0483
0.02887 0.0507 0.0507
0.02897 0.0513 0.0513
0.02907 0.0495 0.0495
0.02917 0.0495 0.0495
0.02927 0.0501 0.0501
0.02937 0.0501 0.0501
0.02947 0.0507 0.0507
0.02957 0.0501 0.0501
0.02967 0.0507 0.0507
0.02977 0.0495 0.0495
0.02987 0.0501 0.0501
0.02997 0.0501 0.0501
0.03007 0.0495 0.0495
0.03017 0.0507 0.0507
0.03027 0.0501 0.0501
0.03037 0.0495 0.0495
0.03047 0.0501 0.0501
0.03057 0.0507 0.0507
0.03067 0.0501 0.0501
0.03077 0.0507 0.0507
0.03087 0.0501 0.0501
0.03096 0.0513 0.0513
0.03106 0.0501 0.0501
0.03116 0.0513 0.0513
0.03126 0.0513 0.0513
0.03136 0.0519 0.0519
0.03146 0.0519 0.0519
0.03156 0.0519 0.0519
0.03166 0.0543 0.0543
0.03176 0.0525 0.0525
0.03186 0.0549 0.0549
0.03196 0.0537 0.0537
0.03206 0.0549 0.0549
0.03216 0.0555 0.0555
0.03226 0.0549 0.0549
0.03236 0.0543 0.0543
0.03246 0.0561 0.0561
0.03256 0.0555 0.0555
0.03266 0.0555 0.0555
0.03276 0.0561 0.0561
0.03286 0.0555 0.0555
0.03296 0.0555 0.0555
0.03306 0.0573 0.0573
0.03316 0.0567 0.0567
0.03326 0.0579 0.0579
0.03336 0.0573 0.0573
0.03346 0.0579 0.0579
0.03356 0.0579 0.0579
0.03366 0.0579 0.0579
0.03376 0.0573 0.0573
0.03386 0.0585 0.0585
0.03396 0.0591 0.0591
0.03406 0.0579 0.0579
0.03416 0.0579 0.0579
0.03426 0.0603 0.0603
0.03436 0.0579 0.0579
0.03446 0.0597 0.0597
0.03456 0.0585 0.0585
0.03466 0.0597 0.0597
0.03476 0.0597 0.0597
0.03486 0.0597 0.0597
0.03496 0.0603 0.0603
0.03506 0.0609 0.0609
0.03516 0.0603 0.0603
0.03526 0.0603 0.0603
0.03536 0.0621 0.0621
0.03546 0.0615 0.0615
0.03556 0.0615 0.0615
0.03566 0.0621 0.0621
0.03576 0.0627 0.0627
0.03586 0.0633 0.0633
0.03596 0.0638 0.0638
0.03606 0.0633 0.0633
0.03616 0.0650 0.0650
0.03626 0.0638 0.0638
0.03636 0.0644 0.0644
0.03646 0.0656 0.0656
0.03656 0.0662 0.0662
0.03666 0.0662 0.0662
0.03676 0.0656 0.0656
0.03686 0.0650 0.0650
0.03696 0.0662 0.0662
0.03706 0.0668 0.0668
0.03716 0.0650 0.0650
0.03726 0.0662 0.0662
0.03736 0.0656 0.0656
0.03746 0.0674 0.0674
0.03756 0.0662 0.0662
0.03766 0.0656 0.0656
0.03776 0.0668 0.0668
0.03786 0.0662 0.0662
0.03796 0.0656 0.0656
0.03806 0.0662 0.0662
0.03816 0.0656 0.0656
0.03826 0.0668 0.0668
0.03836 0.0656 0.0656
0.03846 0.0668 0.0668
0.03856 0.0656 0.0656
0.03866 0.0662 0.0662
0.03876 0.0662 0.0662
0.03886 0.0674 0.0674
0.03896 0.0644 0.0644
0.03906 0.0662 0.0662
0.03916 0.0674 0.0674
0.03926 0.0668 0.0668
0.03936 0.0668 0.0668
0.03946 0.0662 0.0662
0.03956 0.0662 0.0662
0.03966 0.0668 0.0668
0.03975 0.0674 0.0674
0.03985 0.0680 0.0680
0.03995 0.0686 0.0686
0.04005 0.0680 0.0680
0.04015 0.0686 0.0686
0.04025 0.0692 0.0692
0.04035 0.0686 0.0686
0.04045 0.0686 0.0686
0.04055 0.0698 0.0698
0.04065 0.0704 0.0704
0.04075 0.0716 0.0716
0.04085 0.0704 0.0704
0.04095 0.0716 0.0716
0.04105 0.0722 0.0722
0.04115 0.0710 0.0710
0.04125 0.0734 0.0734
0.04135 0.0728 0.0728
0.04145 0.0728 0.0728
0.04155 0.0740 0.0740
0.04165 0.0746 0.0746
0.04175 0.0740 0.0740
0.04185 0.0740 0.0740
0.04195 0.0746 0.0746
0.04205 0.0746 0.0746
0.04215 0.0746 0.0746
0.04225 0.0752 0.0752
0.04235 0.0752 0.0752
0.04245 0.0746 0.0746
0.04255 0.0752 0.0752
0.04265 0.0734 0.0734
0.04275 0.0740 0.0740
0.04285 0.0746 0.0746
0.04295 0.0746 0.0746
0.04305 0.0740 0.0740
0.04315 0.0758 0.0758
0.04325 0.0764 0.0764
0.04335 0.0752 0.0752
0.04345 0.0752 0.0752
0.04355 0.0752 0.0752
0.04365 0.0746 0.0746
0.04375 0.0752 0.0752
0.04385 0.0746 0.0746
0.04395 0.0746 0.0746
0.04405 0.0764 0.0764
0.04415 0.0740 0.0740
0.04425 0.0752 0.0752
0.04435 0.0746 0.0746
0.04445 0.0764 0.0764
0.04455 0.0758 0.0758
0.04465 0.0764 0.0764
0.04475 0.0782 0.0782
0.04485 0.0782 0.0782
0.04495 0.0782 0.0782
0.04505 0.0776 0.0776
0.04515 0.0794 0.0794
0.04525 0.0788 0.0788
0.04535 0.0788 0.0788
0.04545 0.0788 0.0788
0.04555 0.0776 0.0776
0.04565 0.0788 0.0788
0.04575 0.0806 0.0806
0.04585 0.0806 0.0806
0.04595 0.0806 0.0806
0.04605 0.0812 0.0812
0.04615 0.0818 0.0818
0.04625 0.0823 0.0823
0.04635 0.0823 0.0823
0.04645 0.0812 0.0812
0.04655 0.0812 0.0812
0.04665 0.0841 0.0841
0.04675 0.0823 0.0823
0.04685 0.0829 0.0829
0.04695 0.0823 0.0823
0.04705 0.0829 0.0829
0.04715 0.0841 0.0841
0.04725 0.0829 0.0829
0.04735 0.0841 0.0841
0.04745 0.0835 0.0835
0.04755 0.0841 0.0841
0.04765 0.0841 0.0841
0.04775 0.0847 0.0847
0.04785 0.0841 0.0841
0.04795 0.0829 0.0829
0.04805 0.0835 0.0835
0.04815 0.0853 0.0853
0.04825 0.0818 0.0818
0.04835 0.0847 0.0847
0.04845 0.0859 0.0859
0.04854 0.0823 0.0823
0.04864 0.0835 0.0835
0.04874 0.0841 0.0841
0.04884 0.0829 0.0829
0.04894 0.0835 0.0835
0.04904 0.0835 0.0835
0.04914 0.0829 0.0829
0.04924 0.0853 0.0853
0.04934 0.0829 0.0829
0.04944 0.0865 0.0865
0.04954 0.0835 0.0835
0.04964 0.0841 0.0841
0.04974 0.0853 0.0853
0.04984 0.0859 0.0859
0.04994 0.0853 0.0853
0.05004 0.0877 0.0877
0.05014 0.0865 0.0865
0.05024 0.0859 0.0859
0.05034 0.0865 0.0865
0.05044 0.0865 0.0865
0.05054 0.0847 0.0847
0.05064 0.0877 0.0877
0.05074 0.0877 0.0877
0.05084 0.0883 0.0883
0.05094 0.0889 0.0889
0.05104 0.0901 0.0901
0.05114 0.0895 0.0895
0.05124 0.0901 0.0901
0.05134 0.0895 0.0895
0.05144 0.0889 0.0889
0.05154 0.0913 0.0913
0.05164 0.0919 0.0919
0.05174 0.0907 0.0907
0.05184 0.0907 0.0907
0.05194 0.0907 0.0907
0.05204 0.0889 0.0889
0.05214 0.0889 0.0889
0.05224 0.0907 0.0907
0.05234 0.0919 0.0919
0.05244 0.0907 0.0907
0.05254 0.0925 0.0925
0.05264 0.0925 0.0925
0.05274 0.0907 0.0907
0.05284 0.0919 0.0919
0.05294 0.0907 0.0907
0.05304 0.0925 0.0925
0.05314 0.0925 0.0925
0.05324 0.0907 0.0907
0.05334 0.0919 0.0919
0.05344 0.0907 0.0907
0.05354 0.0907 0.0907
0.05364 0.0907 0.0907
0.05374 0.0907 0.0907
0.05384 0.0907 0.0907
0.05394 0.0907 0.0907
0.05404 0.0925 0.0925
0.05414 0.0901 0.0901
0.05424 0.0925 0.0925
0.05434 0.0925 0.0925
0.05444 0.0955 0.0955
0.05454 0.0925 0.0925
0.05464 0.0943 0.0943
0.05474 0.0937 0.0937
0.05484 0.0907 0.0907
0.05494 0.0925 0.0925
0.05504 0.0949 0.0949
0.05514 0.0949 0.0949
0.05524 0.0931 0.0931
0.05534 0.0937 0.0937
0.05544 0.0943 0.0943
0.05554 0.0925 0.0925
0.05564 0.0931 0.0931
0.05574 0.0931 0.0931
0.05584 0.0931 0.0931
0.05594 0.0937 0.0937
0.05604 0.0949 0.0949
0.05614 0.0979 0.0979
0.05624 0.0973 0.0973
0.05634 0.0973 0.0973
0.05644 0.0931 0.0931
0.05654 0.0955 0.0955
0.05664 0.0985 0.0985
0.05674 0.0967 0.0967
0.05684 0.0979 0.0979
0.05694 0.0973 0.0973
0.05704 0.0961 0.0961
0.05714 0.0991 0.0991
0.05724 0.0979 0.0979
0.05734 0.0985 0.0985
0.05743 0.0991 0.0991
0.05753 0.0973 0.0973
