stage,stage_order,x,mean_persist_pipe,mean_persist_rank,median_persist_pipe,median_persist_rank,frac_gt_05_pipe,frac_gt_05_rank,total_pu_area_km2_pipe,total_pu_area_km2_rank,mean_persist_diff_pipe_minus_rank,median_persist_diff_pipe_minus_rank,total_pu_area_diff_pipe_minus_rank
0,0,0,0.891744783911603,0.891744783911603,0.999999918919508,0.999999918919508,0.895604395604396,0.895604395604396,8178380.72624704,8178380.72624704,0,0,0
1,1,4.74865574883676,0.891745083807815,0.891745557171782,0.99999994883828,0.999999953681571,0.895604395604396,0.895604395604396,8111340.733195,8124679.73139016,-4.73363967024021e-07,-4.84329099048608e-09,-13338.9981951592
2,2,9.45013491751602,0.891754990654752,0.891693514803864,0.999999970809059,0.999999974168147,0.895604395604396,0.895604395604396,7920116.84684299,8004207.31492987,6.14758508881153e-05,-3.35908789672601e-09,-84090.4680868825
3,3,14.1409219785651,0.891764998338437,0.891616311230136,0.99999997574349,0.999999969053772,0.895604395604396,0.895604395604396,7874094.88898013,7851828.01726498,0.000148687108301737,6.6897174466618e-09,22266.8717151461
4,4,18.8353199706999,0.891766455014895,0.891515006594977,0.99999996958235,0.999999974446075,0.895604395604396,0.895604395604396,7664104.09004522,7652611.45050178,0.000251448419917533,-4.8637240901428e-09,11492.6395434393
5,5,23.5299055436702,0.891745383329106,0.891374468150422,0.999999986165966,0.99999999212551,0.895604395604396,0.895604395604396,7391200.34464637,7434430.78191345,0.000370915178684039,-5.95954363635798e-09,-43230.4372670734
6,6,28.2220994609865,0.891691265679819,0.891221417973135,0.999999985420542,0.999999986417602,0.895604395604396,0.895604395604396,7202663.13289054,7205644.55173294,0.000469847706684345,-9.97059990126559e-10,-2981.41884240415
7,7,32.9130272076623,0.891639377699373,0.890978803940888,0.999999985171674,0.99999999212551,0.895604395604396,0.895604395604396,6946617.80703805,6925233.22399162,0.000660573758485827,-6.95383528537263e-09,21384.5830464307
8,8,37.603063945369,0.891510670964692,0.890666646605807,0.999999999081556,0.999999993377442,0.895604395604396,0.895604395604396,6713793.14853627,6605221.63832769,0.000844024358885087,5.70411395894865e-09,108571.510208579
9,9,42.294366853716,0.891452394433399,0.890249813000924,0.999999998929798,0.999999994173336,0.895604395604396,0.895604395604396,6479276.99485425,6261962.75189385,0.0012025814324752,4.7564626681762e-09,217314.242960393
10,10,46.984731857885,0.891215752873117,0.889603748050092,0.999999999551106,0.99999999212551,0.895604395604396,0.895604395604396,6177071.60083448,5867694.697236,0.00161200482302504,7.42559613797766e-09,309376.903598477
11,11,51.6772071464547,0.891104825195962,0.888981458656485,0.99999999986082,0.999999994224076,0.895604395604396,0.895604395604396,5876436.5187112,5432640.38710612,0.00212336653947709,5.63674362741296e-09,443796.131605077
12,12,56.3696355398155,0.891031053720832,0.888054033617317,0.999999999702269,0.999999993369737,0.895604395604396,0.895604395604396,5464755.21584842,4969966.39846629,0.00297702010351508,6.3325321653096e-09,494788.817382129
13,13,61.0801185886043,0.890515122599439,0.882836325491608,0.99999999876475,0.999999998450427,0.895604395604396,0.89010989010989,5082045.39425416,4499616.28306601,0.00767879710783082,3.14321901839776e-10,582429.111188151
14,14,65.7855369548315,0.889629339912874,0.880282262581592,0.999999999290954,0.99999999966628,0.895604395604396,0.884615384615385,4598954.87389729,3987762.42191235,0.00934707733128126,-3.75325992507669e-10,611192.451984939
15,15,70.4793253092505,0.888356613055026,0.877566442450727,0.999999996082283,0.999999999456988,0.895604395604396,0.884615384615385,4038884.68503816,3440605.55164842,0.0107901706042984,-3.3747049599242e-09,598279.133389737
16,16,75.1702061607174,0.885591255457694,0.873820647424474,0.999999954898405,0.999999999110167,0.895604395604396,0.884615384615385,3435338.56348606,2910747.29624185,0.0117706080332194,-4.42117628063343e-08,524591.26724421
17,17,79.8661985899549,0.883318469950693,0.871937550065542,0.99999980182294,0.99999999966392,0.895604395604396,0.879120879120879,2824902.34479506,2373213.17151592,0.0113809198851509,-1.9784098004294e-07,451689.173279137
18,18,84.5572201270485,0.877436527032663,0.868273840253333,0.999998894513594,0.99999999275057,0.89010989010989,0.873626373626374,2093963.67533964,1819473.52913748,0.00916268677932985,-1.09823697602707e-06,274490.146202163
19,19,89.261981960351,0.867916128292177,0.858117704963045,0.999894948653236,0.999999684683243,0.879120879120879,0.857142857142857,1432917.81677328,1262152.81657898,0.00979842332913183,-0.000104736030007047,170765.000194301
20,20,93.953331763907,0.846289561916036,0.831149862668612,0.999260356975635,0.999775846507873,0.840659340659341,0.835164835164835,783351.652245489,714626.374324588,0.0151396992474235,-0.000515489532237345,68725.2779209009
21,21,98.6595004534767,0.67535054246481,0.499206514606653,0.866600550236337,0.501319798712947,0.686813186813187,0.5,170417.790651573,139279.159555051,0.176144027858157,0.36528075152339,31138.6310965211
22,22,99.7962403173118,0.34921654331653,0.016044859092669,0.126846339408312,4.37000435837831e-12,0.362637362637363,0.0054945054945055,33811.4477885458,15465.5428512656,0.333171684223861,0.126846339403942,18345.9049372802
